fes,random,de,llm_ea_full,llm_ea_single,llm_ea_no_sched
1,2.281505e+02,2.269338e+02,2.419681e+02,2.419681e+02,2.419681e+02
2,1.868078e+02,1.986082e+02,2.058472e+02,2.058472e+02,2.058472e+02
3,1.845806e+02,1.831470e+02,1.839868e+02,1.839868e+02,1.839868e+02
4,1.806295e+02,1.831470e+02,1.839868e+02,1.839868e+02,1.839868e+02
5,1.791617e+02,1.714133e+02,1.566715e+02,1.566715e+02,1.566715e+02
6,1.773458e+02,1.538222e+02,1.566715e+02,1.566715e+02,1.566715e+02
7,1.752520e+02,1.538222e+02,1.566715e+02,1.566715e+02,1.566715e+02
8,1.613974e+02,1.538222e+02,1.566715e+02,1.566715e+02,1.566715e+02
9,1.613974e+02,1.524876e+02,1.566715e+02,1.566715e+02,1.566715e+02
10,1.553429e+02,1.524876e+02,1.566715e+02,1.566715e+02,1.566715e+02
11,1.553429e+02,1.524876e+02,1.566715e+02,1.566715e+02,1.566715e+02
12,1.553429e+02,1.524876e+02,1.566715e+02,1.566715e+02,1.566715e+02
13,1.553429e+02,1.524876e+02,1.479616e+02,1.479616e+02,1.479616e+02
14,1.553429e+02,1.515995e+02,1.479616e+02,1.479616e+02,1.479616e+02
15,1.541607e+02,1.452652e+02,1.479616e+02,1.479616e+02,1.479616e+02
16,1.541607e+02,1.452652e+02,1.479616e+02,1.479616e+02,1.479616e+02
17,1.541607e+02,1.452652e+02,1.479616e+02,1.479616e+02,1.479616e+02
18,1.501317e+02,1.452652e+02,1.468659e+02,1.468659e+02,1.468659e+02
19,1.451513e+02,1.452652e+02,1.468659e+02,1.468659e+02,1.468659e+02
20,1.391394e+02,1.452652e+02,1.413486e+02,1.413486e+02,1.413486e+02
21,1.391394e+02,1.452652e+02,1.413486e+02,1.413486e+02,1.413486e+02
22,1.391394e+02,1.452652e+02,1.389934e+02,1.259565e+02,1.389934e+02
23,1.391394e+02,1.396159e+02,1.389934e+02,1.235953e+02,1.389934e+02
24,1.391394e+02,1.396159e+02,1.389934e+02,1.235953e+02,1.389934e+02
25,1.391394e+02,1.396159e+02,1.269817e+02,1.215371e+02,1.307949e+02
26,1.338772e+02,1.396159e+02,1.269817e+02,1.215371e+02,1.295454e+02
27,1.299900e+02,1.396159e+02,1.257322e+02,1.215371e+02,1.295454e+02
28,1.299900e+02,1.396159e+02,1.257322e+02,1.215371e+02,1.177938e+02
29,1.299900e+02,1.396159e+02,1.257322e+02,1.215037e+02,1.177938e+02
30,1.279169e+02,1.396159e+02,1.248922e+02,1.215037e+02,1.177938e+02
31,1.279169e+02,1.358514e+02,1.248922e+02,1.215037e+02,1.121432e+02
32,1.279169e+02,1.340631e+02,1.248922e+02,1.215037e+02,1.121432e+02
33,1.279169e+02,1.319692e+02,1.248922e+02,1.113865e+02,1.121432e+02
34,1.279169e+02,1.319692e+02,1.248922e+02,1.090405e+02,1.121432e+02
35,1.279169e+02,1.319692e+02,1.248922e+02,1.078902e+02,1.121432e+02
36,1.279169e+02,1.319692e+02,1.184928e+02,1.067949e+02,1.083545e+02
37,1.279169e+02,1.319692e+02,1.157487e+02,1.001016e+02,1.083545e+02
38,1.279169e+02,1.319692e+02,1.157487e+02,1.001016e+02,1.083545e+02
39,1.279169e+02,1.319692e+02,1.157487e+02,1.001016e+02,1.022524e+02
40,1.279169e+02,1.278349e+02,1.157487e+02,1.001016e+02,1.022524e+02
41,1.279169e+02,1.278349e+02,1.157487e+02,9.194172e+01,1.022524e+02
42,1.279169e+02,1.278349e+02,1.157487e+02,8.780575e+01,1.022524e+02
43,1.279169e+02,1.278349e+02,1.148224e+02,8.780575e+01,1.022524e+02
44,1.245779e+02,1.269985e+02,1.148224e+02,8.780575e+01,1.022524e+02
45,1.245779e+02,1.269985e+02,1.148224e+02,8.442627e+01,1.022524e+02
46,1.245779e+02,1.237445e+02,1.133611e+02,8.442627e+01,9.789498e+01
47,1.245779e+02,1.237445e+02,1.092761e+02,8.442627e+01,9.789498e+01
48,1.245779e+02,1.237445e+02,1.071690e+02,8.442627e+01,9.789498e+01
49,1.210359e+02,1.237445e+02,1.071690e+02,8.442627e+01,9.789498e+01
50,1.210359e+02,1.237445e+02,1.071690e+02,8.442627e+01,9.789498e+01
51,1.210359e+02,1.237445e+02,1.071690e+02,8.442627e+01,9.554460e+01
52,1.210359e+02,1.237445e+02,1.071690e+02,8.442627e+01,9.321886e+01
53,1.210359e+02,1.237445e+02,1.043357e+02,8.189367e+01,9.226999e+01
54,1.196929e+02,1.237445e+02,1.043357e+02,8.189367e+01,9.226999e+01
55,1.196929e+02,1.237445e+02,1.043357e+02,8.189367e+01,9.226999e+01
56,1.196929e+02,1.237445e+02,9.762891e+01,8.189367e+01,9.226999e+01
57,1.196929e+02,1.237445e+02,9.589631e+01,7.701659e+01,9.226999e+01
58,1.196929e+02,1.237445e+02,9.589631e+01,7.701659e+01,9.226999e+01
59,1.196929e+02,1.237445e+02,9.589631e+01,7.701659e+01,9.226999e+01
60,1.196929e+02,1.237445e+02,9.589631e+01,7.701659e+01,9.226999e+01
61,1.196929e+02,1.234299e+02,9.589631e+01,7.701659e+01,9.226999e+01
62,1.196929e+02,1.234299e+02,9.589631e+01,7.701659e+01,8.891933e+01
63,1.196929e+02,1.234299e+02,9.589631e+01,7.701659e+01,8.891933e+01
64,1.196929e+02,1.234299e+02,9.125399e+01,7.701659e+01,8.891933e+01
65,1.196929e+02,1.234299e+02,9.125399e+01,7.701659e+01,8.891933e+01
66,1.196929e+02,1.234299e+02,8.762960e+01,7.606464e+01,8.891933e+01
67,1.195395e+02,1.234299e+02,8.762960e+01,7.606464e+01,8.891933e+01
68,1.195395e+02,1.234299e+02,8.762960e+01,7.606464e+01,8.891933e+01
69,1.195395e+02,1.201800e+02,8.607625e+01,7.606464e+01,8.457312e+01
70,1.195395e+02,1.200617e+02,8.177808e+01,7.606464e+01,8.306160e+01
71,1.195395e+02,1.200617e+02,8.177808e+01,7.606464e+01,8.306160e+01
72,1.195395e+02,1.200617e+02,8.177808e+01,7.606464e+01,8.276592e+01
73,1.195395e+02,1.200617e+02,8.177808e+01,7.606464e+01,8.276592e+01
74,1.195395e+02,1.177050e+02,8.177808e+01,7.606464e+01,8.260376e+01
75,1.195395e+02,1.177050e+02,8.177808e+01,7.510702e+01,8.207146e+01
76,1.152547e+02,1.177050e+02,8.177808e+01,7.510702e+01,8.207146e+01
77,1.152547e+02,1.177050e+02,8.177808e+01,7.510702e+01,8.207146e+01
78,1.152547e+02,1.177050e+02,8.152642e+01,7.510702e+01,8.207146e+01
79,1.152547e+02,1.177050e+02,8.152642e+01,7.510702e+01,8.207146e+01
80,1.140360e+02,1.177050e+02,8.135830e+01,7.510702e+01,8.118555e+01
81,1.140360e+02,1.177050e+02,8.135830e+01,7.510702e+01,8.118555e+01
82,1.140360e+02,1.177050e+02,8.135830e+01,7.510702e+01,8.118555e+01
83,1.140360e+02,1.177050e+02,8.135830e+01,7.332159e+01,8.118555e+01
84,1.140360e+02,1.135800e+02,8.135830e+01,7.332159e+01,8.118555e+01
85,1.140360e+02,1.135800e+02,7.600330e+01,7.332159e+01,8.118555e+01
86,1.140360e+02,1.135800e+02,7.600330e+01,7.332159e+01,8.025921e+01
87,1.140360e+02,1.135800e+02,7.600330e+01,7.332159e+01,7.672352e+01
88,1.140360e+02,1.135800e+02,7.600330e+01,7.332159e+01,7.672352e+01
89,1.140360e+02,1.135800e+02,7.448485e+01,7.332159e+01,7.448274e+01
90,1.140360e+02,1.135800e+02,7.379061e+01,7.332159e+01,7.436398e+01
91,1.140360e+02,1.135800e+02,7.379061e+01,6.868523e+01,7.436398e+01
92,1.140360e+02,1.135800e+02,7.379061e+01,6.868523e+01,7.436398e+01
93,1.140360e+02,1.135800e+02,7.379061e+01,6.711075e+01,7.436398e+01
94,1.127367e+02,1.135800e+02,7.379061e+01,6.374478e+01,7.436398e+01
95,1.127367e+02,1.135800e+02,7.284766e+01,6.374478e+01,7.436398e+01
96,1.127367e+02,1.135800e+02,7.284766e+01,6.374478e+01,7.436398e+01
97,1.127367e+02,1.135800e+02,7.284766e+01,6.374478e+01,6.969023e+01
98,1.127367e+02,1.135800e+02,7.284766e+01,6.374478e+01,6.969023e+01
99,1.127367e+02,1.135800e+02,7.284766e+01,6.374478e+01,6.969023e+01
100,1.127367e+02,1.135800e+02,7.284766e+01,6.374478e+01,6.969023e+01
101,1.127367e+02,1.112399e+02,7.284766e+01,6.374478e+01,6.969023e+01
102,1.127367e+02,1.112399e+02,7.284766e+01,6.374478e+01,6.969023e+01
103,1.127367e+02,1.112399e+02,6.842512e+01,6.374478e+01,6.969023e+01
104,1.127367e+02,1.105821e+02,6.842512e+01,5.915847e+01,6.964446e+01
105,1.127367e+02,1.105821e+02,6.842512e+01,5.840647e+01,6.612736e+01
106,1.127367e+02,1.105821e+02,6.842512e+01,5.840647e+01,6.612736e+01
107,1.127367e+02,1.105821e+02,6.829687e+01,5.799203e+01,6.612736e+01
108,1.127367e+02,1.103257e+02,6.829687e+01,5.799203e+01,6.612736e+01
109,1.127367e+02,1.103257e+02,6.829687e+01,5.799203e+01,6.612736e+01
110,1.127367e+02,1.103257e+02,6.829687e+01,5.563593e+01,6.536714e+01
111,1.127367e+02,1.103257e+02,6.829687e+01,5.471367e+01,6.536714e+01
112,1.127367e+02,1.103257e+02,6.829687e+01,5.471367e+01,6.491902e+01
113,1.127367e+02,1.087788e+02,6.829687e+01,5.202436e+01,6.491902e+01
114,1.127367e+02,1.087788e+02,6.829687e+01,5.202436e+01,6.491902e+01
115,1.127367e+02,1.087788e+02,6.829687e+01,5.202436e+01,6.491902e+01
116,1.127367e+02,1.087788e+02,6.829687e+01,5.202436e+01,6.491902e+01
117,1.127367e+02,1.080117e+02,6.829687e+01,5.202436e+01,6.491902e+01
118,1.127367e+02,1.080117e+02,6.829687e+01,5.202436e+01,6.491902e+01
119,1.127367e+02,1.080117e+02,6.829687e+01,5.202436e+01,6.491902e+01
120,1.127367e+02,1.080117e+02,6.829687e+01,5.202436e+01,6.491902e+01
121,1.127367e+02,1.080117e+02,6.829687e+01,5.202436e+01,6.491902e+01
122,1.127367e+02,1.080117e+02,6.829687e+01,5.202436e+01,6.491902e+01
123,1.127367e+02,1.080117e+02,6.829687e+01,5.017633e+01,6.408185e+01
124,1.127367e+02,1.080117e+02,6.749793e+01,5.017633e+01,6.408185e+01
125,1.127367e+02,1.080117e+02,6.749793e+01,5.017633e+01,6.408185e+01
126,1.127367e+02,1.080117e+02,6.749793e+01,4.981357e+01,6.408185e+01
127,1.127367e+02,1.080117e+02,6.749793e+01,4.981357e+01,6.408185e+01
128,1.127367e+02,1.048825e+02,6.749793e+01,4.981357e+01,6.408185e+01
129,1.127367e+02,1.048825e+02,6.749793e+01,4.981357e+01,6.408185e+01
130,1.127367e+02,1.048825e+02,6.749793e+01,4.942767e+01,6.408185e+01
131,1.127367e+02,1.048825e+02,6.749793e+01,4.942767e+01,6.408185e+01
132,1.127367e+02,1.048825e+02,6.549329e+01,4.942767e+01,6.408185e+01
133,1.127367e+02,1.048825e+02,6.549329e+01,4.942767e+01,6.408185e+01
134,1.127367e+02,1.048825e+02,6.486986e+01,4.942767e+01,6.408185e+01
135,1.127367e+02,1.048825e+02,6.486986e+01,4.942767e+01,6.408185e+01
