fes,random,de,llm_ea_full,llm_ea_single,llm_ea_no_sched
1,6.241204e+05,6.125122e+05,5.626821e+05,5.626821e+05,5.626821e+05
2,3.539779e+05,3.350250e+05,3.207219e+05,3.207219e+05,3.207219e+05
3,2.533468e+05,3.019442e+05,1.857215e+05,1.857215e+05,1.857215e+05
4,1.829688e+05,3.019442e+05,1.857215e+05,1.857215e+05,1.857215e+05
5,1.829688e+05,2.004971e+05,1.304904e+05,1.304904e+05,1.304904e+05
6,1.695076e+05,1.875935e+05,1.304904e+05,1.304904e+05,1.304904e+05
7,1.695076e+05,1.875935e+05,1.304904e+05,1.304904e+05,1.304904e+05
8,1.012293e+05,1.875935e+05,9.450442e+04,9.450442e+04,9.450442e+04
9,8.035401e+04,1.611394e+05,9.450442e+04,9.450442e+04,9.450442e+04
10,8.035401e+04,1.611394e+05,9.450442e+04,9.450442e+04,9.450442e+04
11,8.035401e+04,1.611394e+05,9.450442e+04,9.450442e+04,9.450442e+04
12,8.035401e+04,1.471137e+05,9.450442e+04,9.450442e+04,9.450442e+04
13,8.035401e+04,1.471137e+05,9.450271e+04,9.450271e+04,9.450271e+04
14,8.035401e+04,1.471137e+05,9.450271e+04,9.450271e+04,9.450271e+04
15,8.035401e+04,1.303930e+05,9.450271e+04,9.450271e+04,9.450271e+04
16,8.035401e+04,1.220416e+05,8.961116e+04,8.961116e+04,8.961116e+04
17,8.035401e+04,1.220416e+05,8.961116e+04,8.961116e+04,8.961116e+04
18,8.035401e+04,1.220416e+05,8.961116e+04,8.961116e+04,8.961116e+04
19,8.035401e+04,1.220416e+05,8.961116e+04,8.961116e+04,8.961116e+04
20,8.035401e+04,1.215139e+05,8.175523e+04,8.175523e+04,8.175523e+04
21,8.035401e+04,1.215139e+05,7.949593e+04,7.770099e+04,7.949593e+04
22,8.035401e+04,1.215139e+05,7.949593e+04,7.681864e+04,7.949593e+04
23,8.035401e+04,1.215139e+05,7.681864e+04,7.681864e+04,7.681864e+04
24,8.035401e+04,1.215139e+05,7.040557e+04,7.055890e+04,6.582969e+04
25,8.035401e+04,1.215139e+05,7.040557e+04,6.732678e+04,6.582969e+04
26,7.402932e+04,1.215139e+05,3.304154e+04,6.732678e+04,3.598710e+04
27,5.786143e+04,1.215139e+05,2.526047e+04,6.217598e+04,3.089857e+04
28,5.786143e+04,1.215139e+05,2.526047e+04,5.984050e+04,2.833683e+04
29,5.786143e+04,1.215139e+05,2.526047e+04,3.400327e+04,2.833683e+04
30,4.729516e+04,1.215139e+05,2.363511e+04,3.296380e+04,2.833683e+04
31,4.729516e+04,1.215139e+05,2.363511e+04,3.296380e+04,2.833683e+04
32,4.729516e+04,1.215139e+05,2.363511e+04,3.296380e+04,2.620941e+04
33,4.729516e+04,1.215139e+05,2.205974e+04,3.287774e+04,2.483637e+04
34,4.729516e+04,1.215139e+05,2.205974e+04,3.287774e+04,2.058427e+04
35,4.546033e+04,1.215139e+05,2.205974e+04,2.618966e+04,2.058427e+04
36,4.546033e+04,1.146140e+05,2.205974e+04,2.575840e+04,1.937360e+04
37,4.546033e+04,1.146140e+05,2.205974e+04,2.435527e+04,1.937360e+04
38,4.546033e+04,1.146140e+05,2.082993e+04,2.435527e+04,1.937360e+04
39,4.546033e+04,1.146140e+05,2.082993e+04,2.435527e+04,1.850818e+04
40,4.546033e+04,1.072292e+05,2.082993e+04,2.435527e+04,1.850818e+04
41,4.546033e+04,1.072292e+05,1.877227e+04,2.403692e+04,1.850818e+04
42,4.546033e+04,1.072292e+05,1.855407e+04,2.194298e+04,1.850818e+04
43,4.546033e+04,9.123479e+04,1.855407e+04,2.194298e+04,1.846459e+04
44,4.391573e+04,9.123479e+04,1.855407e+04,2.194298e+04,1.827248e+04
45,4.391573e+04,9.123479e+04,1.325328e+04,1.956364e+04,1.758618e+04
46,4.391573e+04,9.123479e+04,1.068669e+04,1.956364e+04,1.758618e+04
47,4.391573e+04,9.123479e+04,1.068669e+04,1.956364e+04,1.758618e+04
