fes,random,de,llm_ea_full,llm_ea_single,llm_ea_no_sched
1,1.232606e+02,1.388713e+02,1.355423e+02,1.355423e+02,1.355423e+02
2,8.837585e+01,1.053645e+02,1.023470e+02,1.023470e+02,1.023470e+02
3,8.481508e+01,9.479006e+01,9.086870e+01,9.086870e+01,9.086870e+01
4,7.437116e+01,9.479006e+01,9.086870e+01,9.086870e+01,9.086870e+01
5,7.319156e+01,8.192959e+01,6.403233e+01,6.403233e+01,6.403233e+01
6,7.319156e+01,7.340255e+01,6.403233e+01,6.403233e+01,6.403233e+01
7,7.319156e+01,7.111536e+01,6.403233e+01,6.403233e+01,6.403233e+01
8,5.744916e+01,6.934704e+01,6.336121e+01,6.336121e+01,6.336121e+01
9,5.744916e+01,6.929143e+01,6.336121e+01,6.336121e+01,6.336121e+01
10,5.744916e+01,6.929143e+01,6.336121e+01,6.336121e+01,6.336121e+01
11,5.647389e+01,6.929143e+01,6.336121e+01,6.336121e+01,6.336121e+01
12,5.647389e+01,6.773382e+01,6.336121e+01,6.336121e+01,6.336121e+01
13,5.647389e+01,6.588748e+01,6.071368e+01,6.071368e+01,6.071368e+01
14,5.647389e+01,6.588748e+01,6.071368e+01,6.071368e+01,6.071368e+01
15,5.584836e+01,6.257572e+01,6.071368e+01,6.071368e+01,6.071368e+01
16,5.584836e+01,6.257572e+01,5.971757e+01,5.971757e+01,5.971757e+01
17,5.584836e+01,6.257572e+01,5.971757e+01,5.971757e+01,5.971757e+01
18,5.584836e+01,6.257572e+01,5.971757e+01,5.971757e+01,5.971757e+01
19,5.459329e+01,6.257572e+01,5.971757e+01,5.971757e+01,5.971757e+01
20,5.438302e+01,6.257572e+01,5.971757e+01,5.971757e+01,5.971757e+01
21,5.438302e+01,6.257572e+01,5.866690e+01,5.866690e+01,5.866690e+01
22,5.438302e+01,6.257572e+01,4.753632e+01,4.129464e+01,4.753632e+01
23,5.438302e+01,6.257572e+01,4.753632e+01,4.129464e+01,4.753632e+01
24,5.438302e+01,6.257572e+01,4.753632e+01,4.129464e+01,4.753632e+01
25,5.438302e+01,6.257572e+01,4.605334e+01,3.730027e+01,4.212322e+01
26,5.261004e+01,6.257572e+01,3.979274e+01,3.730027e+01,4.064024e+01
27,4.566344e+01,6.257572e+01,3.979274e+01,3.496980e+01,4.004980e+01
28,4.566344e+01,6.257572e+01,3.979274e+01,3.142266e+01,3.786300e+01
29,4.566344e+01,6.257572e+01,3.782804e+01,2.900529e+01,3.545310e+01
30,4.034386e+01,6.257572e+01,3.539341e+01,2.594132e+01,3.199397e+01
31,4.034386e+01,5.919448e+01,3.539341e+01,2.541259e+01,2.928709e+01
32,4.034386e+01,5.402399e+01,3.424236e+01,2.541259e+01,2.867552e+01
33,4.004474e+01,5.402399e+01,3.297881e+01,2.068499e+01,2.157248e+01
34,4.004474e+01,5.402399e+01,3.121642e+01,2.068499e+01,2.157248e+01
35,4.004474e+01,5.402399e+01,2.796311e+01,2.068499e+01,2.008835e+01
36,4.004474e+01,5.378554e+01,2.796311e+01,2.068499e+01,1.750825e+01
37,4.004474e+01,5.378554e+01,2.590353e+01,2.030978e+01,1.750825e+01
38,4.004474e+01,5.378554e+01,2.590353e+01,2.030978e+01,1.750825e+01
39,4.004474e+01,5.378554e+01,2.590353e+01,1.919170e+01,1.750825e+01
40,4.004474e+01,5.378554e+01,2.476401e+01,1.815663e+01,1.750825e+01
41,4.004474e+01,5.378554e+01,2.323446e+01,1.792839e+01,1.648012e+01
42,4.004474e+01,5.378554e+01,2.323446e+01,1.671233e+01,1.554334e+01
43,4.004474e+01,4.399062e+01,2.175706e+01,1.671233e+01,1.538899e+01
44,4.004474e+01,4.399062e+01,2.175706e+01,1.671233e+01,1.537543e+01
45,4.004474e+01,4.399062e+01,2.175706e+01,1.658430e+01,1.465095e+01
46,4.004474e+01,4.399062e+01,2.126083e+01,1.658430e+01,1.465095e+01
47,4.004474e+01,4.337309e+01,2.126083e+01,1.658430e+01,1.465095e+01
