problem,method,final_mean,final_std,n_seeds
sphere,random,3.060658e+01,2.217795e+00,5
sphere,de,9.369085e+00,4.906214e+00,5
sphere,llm_ea_full,3.404111e-01,1.576016e-01,5
sphere,llm_ea_single,3.909344e-01,1.609418e-01,5
sphere,llm_ea_no_sched,5.191879e-01,4.283526e-01,5
rosenbrock,random,2.073128e+04,9.733410e+03,5
rosenbrock,de,3.423282e+03,1.680625e+03,5
rosenbrock,llm_ea_full,7.151945e+01,5.318894e+01,5
rosenbrock,llm_ea_single,4.744309e+02,6.558428e+02,5
rosenbrock,llm_ea_no_sched,1.135862e+02,9.746694e+01,5
rastrigin,random,1.053963e+02,8.655101e+00,5
rastrigin,de,8.041878e+01,5.034034e+00,5
rastrigin,llm_ea_full,3.396457e+01,1.684819e+01,5
rastrigin,llm_ea_single,3.297455e+01,8.195161e+00,5
rastrigin,llm_ea_no_sched,4.357662e+01,1.238261e+01,5
